id,index_key,level,scope,snap_date,value,components,note
72,fear,market,上证指数,2026-06-28,80.33,"{""volatility_pct"": 79.29, ""momentum_pct"": 18.64, ""amount_pct"": 89.96}",
73,greed,market,上证指数,2026-06-28,54.3,"{""volatility_pct"": 79.29, ""momentum_pct"": 18.64, ""amount_pct"": 89.96}",
74,fear,sector,创业板指,2026-06-28,80.76,"{""volatility_pct"": 96.29, ""momentum_pct"": 34.77, ""amount_pct"": 86.93}",
75,greed,sector,创业板指,2026-06-28,60.85,"{""volatility_pct"": 96.29, ""momentum_pct"": 34.77, ""amount_pct"": 86.93}",
76,heat,market,上证指数,2026-06-28,89.96,"{""volatility_pct"": 79.29, ""momentum_pct"": 18.64, ""amount_pct"": 89.96}",
77,heat,sector,创业板指,2026-06-28,86.93,"{""volatility_pct"": 96.29, ""momentum_pct"": 34.77, ""amount_pct"": 86.93}",
78,fear,stock,600519,2026-06-28,80.77,"{""volatility_pct"": 57.71, ""momentum_pct"": 34.03, ""amount_pct"": 68.89, ""fund_flow_main"": {""raw"": -52656848.0, ""pct"": null}, ""margin_buy"": {""raw"": 399270757.0, ""pct"": null}, ""pe_pct"": 0.02, ""pb_pct"": 0.6}",
79,greed,stock,600519,2026-06-28,25.89,"{""volatility_pct"": 57.71, ""momentum_pct"": 34.03, ""amount_pct"": 68.89, ""fund_flow_main"": {""raw"": -52656848.0, ""pct"": null}, ""margin_buy"": {""raw"": 399270757.0, ""pct"": null}, ""pe_pct"": 0.02, ""pb_pct"": 0.6}",
80,heat,stock,600519,2026-06-28,68.89,"{""volatility_pct"": 57.71, ""momentum_pct"": 34.03, ""amount_pct"": 68.89, ""fund_flow_main"": {""raw"": -52656848.0, ""pct"": null}, ""margin_buy"": {""raw"": 399270757.0, ""pct"": null}, ""pe_pct"": 0.02, ""pb_pct"": 0.6}",
81,fear,stock,000858,2026-06-28,69.59,"{""volatility_pct"": 41.46, ""momentum_pct"": 22.76, ""amount_pct"": 40.12, ""fund_flow_main"": {""raw"": 1825893888.0, ""pct"": null}, ""pe_pct"": 40.33, ""pb_pct"": 0.02}",
82,greed,stock,000858,2026-06-28,25.81,"{""volatility_pct"": 41.46, ""momentum_pct"": 22.76, ""amount_pct"": 40.12, ""fund_flow_main"": {""raw"": 1825893888.0, ""pct"": null}, ""pe_pct"": 40.33, ""pb_pct"": 0.02}",
83,heat,stock,000858,2026-06-28,40.12,"{""volatility_pct"": 41.46, ""momentum_pct"": 22.76, ""amount_pct"": 40.12, ""fund_flow_main"": {""raw"": 1825893888.0, ""pct"": null}, ""pe_pct"": 40.33, ""pb_pct"": 0.02}",
84,fear,stock,600036,2026-06-28,74.6,"{""volatility_pct"": 30.63, ""momentum_pct"": 17.9, ""amount_pct"": 5.43, ""fund_flow_main"": {""raw"": -155222164.0, ""pct"": null}, ""margin_buy"": {""raw"": 327916159.0, ""pct"": null}, ""pe_pct"": 12.99, ""pb_pct"": 1.33}",
85,greed,stock,600036,2026-06-28,9.41,"{""volatility_pct"": 30.63, ""momentum_pct"": 17.9, ""amount_pct"": 5.43, ""fund_flow_main"": {""raw"": -155222164.0, ""pct"": null}, ""margin_buy"": {""raw"": 327916159.0, ""pct"": null}, ""pe_pct"": 12.99, ""pb_pct"": 1.33}",
86,heat,stock,600036,2026-06-28,5.43,"{""volatility_pct"": 30.63, ""momentum_pct"": 17.9, ""amount_pct"": 5.43, ""fund_flow_main"": {""raw"": -155222164.0, ""pct"": null}, ""margin_buy"": {""raw"": 327916159.0, ""pct"": null}, ""pe_pct"": 12.99, ""pb_pct"": 1.33}",
87,fear,stock,601318,2026-06-28,91.81,"{""volatility_pct"": 87.12, ""momentum_pct"": 14.77, ""amount_pct"": 94.3, ""fund_flow_main"": {""raw"": -181602912.0, ""pct"": null}, ""margin_buy"": {""raw"": 887953862.0, ""pct"": null}, ""pe_pct"": 0.1, ""pb_pct"": 4.99}",
88,greed,stock,601318,2026-06-28,28.54,"{""volatility_pct"": 87.12, ""momentum_pct"": 14.77, ""amount_pct"": 94.3, ""fund_flow_main"": {""raw"": -181602912.0, ""pct"": null}, ""margin_buy"": {""raw"": 887953862.0, ""pct"": null}, ""pe_pct"": 0.1, ""pb_pct"": 4.99}",
89,heat,stock,601318,2026-06-28,94.3,"{""volatility_pct"": 87.12, ""momentum_pct"": 14.77, ""amount_pct"": 94.3, ""fund_flow_main"": {""raw"": -181602912.0, ""pct"": null}, ""margin_buy"": {""raw"": 887953862.0, ""pct"": null}, ""pe_pct"": 0.1, ""pb_pct"": 4.99}",
90,fear,stock,HK00700,2026-06-28,85.91,"{""volatility_pct"": 82.11, ""momentum_pct"": 10.28, ""amount_pct"": 82.56}",
