id,sector_name,snap_date,open,high,low,close,pct_chg,volume,amount
5601,半导体,2022-02-22,7681.569,7752.072,7539.188,7708.877,-0.26,785729800.0,31673230000.0
5602,半导体,2022-02-23,7709.307,8134.173,7709.307,8128.71,5.45,1325369920.0,56572665000.0
5603,半导体,2022-02-24,8099.128,8144.639,7834.579,7955.925,-2.13,1381713400.0,54658126000.0
5604,半导体,2022-02-25,8074.148,8151.62,8024.544,8044.69,1.12,905611880.0,39779518000.0
5605,半导体,2022-02-28,8030.617,8086.364,7980.332,8059.7,0.19,751414000.0,33154753000.0
5606,半导体,2022-03-01,8075.902,8092.967,8000.357,8072.284,0.16,728961670.0,29540978000.0
5607,半导体,2022-03-02,8018.695,8018.695,7920.151,7989.538,-1.03,650917350.0,28464809000.0
5608,半导体,2022-03-03,8029.438,8048.08,7819.018,7822.061,-2.1,771308480.0,30002238000.0
5609,半导体,2022-03-04,7767.449,8002.982,7752.276,7837.116,0.19,790775760.0,36875008000.0
5610,半导体,2022-03-07,7793.314,7793.314,7558.66,7592.571,-3.12,890266320.0,36219686000.0
5611,半导体,2022-03-08,7601.198,7733.407,7444.622,7547.407,-0.59,993998800.0,43072592000.0
5612,半导体,2022-03-09,7581.728,7702.044,7272.066,7559.333,0.16,1137086110.0,49722234000.0
5613,半导体,2022-03-10,7745.545,7773.538,7581.354,7581.422,0.29,979339160.0,48096731000.0
5614,半导体,2022-03-11,7469.664,7588.534,7367.932,7588.534,0.09,922529180.0,39537500000.0
5615,半导体,2022-03-14,7503.092,7503.092,7338.489,7338.489,-3.3,729288000.0,30731130000.0
5616,半导体,2022-03-15,7282.624,7386.32,7015.21,7015.21,-4.41,1025776520.0,42726686000.0
5617,半导体,2022-03-16,7147.777,7304.371,6870.182,7295.954,4.0,1215359680.0,51844008000.0
5618,半导体,2022-03-17,7396.531,7586.014,7396.51,7457.463,2.21,1245061260.0,57814042000.0
5619,半导体,2022-03-18,7421.413,7484.912,7366.102,7436.812,-0.28,793218850.0,34046464000.0
5620,半导体,2022-03-21,7440.529,7557.975,7402.86,7538.087,1.36,819099920.0,35515201000.0
5621,半导体,2022-03-22,7521.874,7525.861,7420.444,7443.788,-1.25,669957060.0,29186441000.0
5622,半导体,2022-03-23,7461.309,7508.699,7395.036,7486.644,0.58,697891610.0,29421122000.0
