id,level,scope,factor,snap_date,raw_value,percentile,window_days,sample_size
288,market,MARKET,margin_balance,2023-02-15,839474368205.0,,250,0
289,market,MARKET,margin_balance,2023-02-14,837062695625.0,,250,0
290,market,MARKET,margin_balance,2023-02-13,835452392082.0,,250,0
291,market,MARKET,margin_balance,2023-02-10,832409788511.0,,250,0
292,market,MARKET,margin_balance,2023-02-09,834455798893.0,,250,0
293,market,MARKET,margin_balance,2023-02-08,832679668969.0,,250,0
294,market,MARKET,margin_balance,2023-02-07,832227596814.0,,250,0
295,market,MARKET,margin_balance,2023-02-06,829716562412.0,,250,0
296,market,MARKET,margin_balance,2023-02-03,827360812591.0,,250,0
297,market,MARKET,margin_balance,2023-02-02,826499914758.0,,250,0
298,market,MARKET,margin_balance,2023-02-01,823472416381.0,,250,0
299,market,MARKET,margin_balance,2023-01-31,818423290842.0,,250,0
300,market,MARKET,margin_balance,2023-01-30,815986684274.0,,250,0
301,market,MARKET,margin_balance,2023-01-20,806346061418.0,,250,0
302,market,MARKET,margin_balance,2023-01-19,814935536011.0,,250,0
303,market,MARKET,margin_balance,2023-01-18,815524102118.0,,250,0
304,market,MARKET,margin_balance,2023-01-17,818494869094.0,,250,0
305,market,MARKET,margin_balance,2023-01-16,820244797939.0,,250,0
306,market,MARKET,margin_balance,2023-01-13,819325621509.0,,250,0
307,market,MARKET,margin_balance,2023-01-12,820979598430.0,,250,0
308,market,MARKET,margin_balance,2023-01-11,822108667574.0,,250,0
309,market,MARKET,margin_balance,2023-01-10,823712161540.0,,250,0
310,market,MARKET,margin_balance,2023-01-09,823518137486.0,,250,0
311,market,MARKET,margin_balance,2023-01-06,821710570835.0,,250,0
312,market,MARKET,margin_balance,2023-01-05,823129886138.0,,250,0
313,market,MARKET,margin_balance,2023-01-04,821837936889.0,,250,0
314,market,MARKET,margin_balance,2023-01-03,821564167485.0,,250,0
315,market,MARKET,margin_balance,2022-12-30,819996118205.0,,250,0
316,market,MARKET,margin_balance,2022-12-29,824694666593.0,,250,0
317,market,MARKET,margin_balance,2022-12-28,824271400710.0,,250,0
318,market,MARKET,margin_balance,2022-12-27,826120246509.0,,250,0
319,market,MARKET,margin_balance,2022-12-26,826487754612.0,,250,0
320,market,MARKET,margin_balance,2022-12-23,823852812157.0,,250,0
321,market,MARKET,margin_balance,2022-12-22,826966533240.0,,250,0
322,market,MARKET,margin_balance,2022-12-21,829145110820.0,,250,0
323,market,MARKET,margin_balance,2022-12-20,831020775832.0,,250,0
324,market,MARKET,margin_balance,2022-12-19,831227076820.0,,250,0
325,market,MARKET,margin_balance,2022-12-16,834097059924.0,,250,0
326,market,MARKET,margin_balance,2022-12-15,837445111546.0,,250,0
327,market,MARKET,margin_balance,2022-12-14,836931234475.0,,250,0
328,market,MARKET,margin_balance,2022-12-13,838586869665.0,,250,0
329,market,MARKET,margin_balance,2022-12-12,839897596741.0,,250,0
