id,asset_code,ex_date,record_date,announce_date,per_share_cash,currency,source
270,601857,2023-06-28,,,0.22,CNY,akshare:stock_fhps_detail_em
271,601857,2022-09-20,,,0.20258,CNY,akshare:stock_fhps_detail_em
272,601816,2025-10-27,,,0.0385,CNY,akshare:stock_fhps_detail_em
273,601816,2025-07-15,,,0.1182,CNY,akshare:stock_fhps_detail_em
274,601816,2024-06-28,,,0.1116,CNY,akshare:stock_fhps_detail_em
275,601816,2023-07-28,,,0.0114,CNY,akshare:stock_fhps_detail_em
276,601816,2022-07-29,,,0.0491,CNY,akshare:stock_fhps_detail_em
277,601816,2021-07-30,,,0.0329,CNY,akshare:stock_fhps_detail_em
278,601816,2020-08-19,,,0.0528,CNY,akshare:stock_fhps_detail_em
279,603288,2026-06-15,,,0.8,CNY,akshare:stock_fhps_detail_em
280,603288,2025-09-24,,,0.26,CNY,akshare:stock_fhps_detail_em
281,603288,2025-06-05,,,0.86,CNY,akshare:stock_fhps_detail_em
282,603288,2024-06-19,,,0.66,CNY,akshare:stock_fhps_detail_em
283,603288,2023-06-01,,,0.583333,CNY,akshare:stock_fhps_detail_em
284,603288,2022-04-29,,,0.690909,CNY,akshare:stock_fhps_detail_em
285,603288,2021-05-17,,,0.792308,CNY,akshare:stock_fhps_detail_em
286,603288,2020-05-07,,,0.9,CNY,akshare:stock_fhps_detail_em
287,603501,2026-06-04,,,0.1,CNY,akshare:stock_fhps_detail_em
288,603501,2025-11-24,,,0.4,CNY,akshare:stock_fhps_detail_em
289,603501,2025-08-01,,,0.22,CNY,akshare:stock_fhps_detail_em
290,603501,2024-12-18,,,0.2,CNY,akshare:stock_fhps_detail_em
291,603501,2024-08-13,,,0.14,CNY,akshare:stock_fhps_detail_em
292,603501,2023-07-31,,,0.084,CNY,akshare:stock_fhps_detail_em
293,603501,2022-07-28,,,0.385185,CNY,akshare:stock_fhps_detail_em
294,603501,2021-06-30,,,0.315,CNY,akshare:stock_fhps_detail_em
295,601088,2025-12-31,,,1.03,CNY,akshare:stock_fhps_detail_em
296,601088,2025-11-10,,,0.98,CNY,akshare:stock_fhps_detail_em
297,601088,2025-07-07,,,2.26,CNY,akshare:stock_fhps_detail_em
298,601088,2024-07-08,,,2.26,CNY,akshare:stock_fhps_detail_em
299,601088,2023-07-05,,,2.55,CNY,akshare:stock_fhps_detail_em
300,601088,2022-07-11,,,2.54,CNY,akshare:stock_fhps_detail_em
